K,score,precision_at_k,lift
500,naive_baseline,0.1,7.178621908127209
500,raw_composite,0.088,6.317187279151943
500,within_client,0.122,8.757918727915193
677,naive_baseline,0.09453471196454949,6.786289543872103
677,raw_composite,0.08567208271787297,6.1500748991340926
677,within_client,0.10782865583456426,7.740611510979117
