diff_within_minus_naive,precision_within,precision_naive
-0.0020000000000000018,0.138,0.14
0.027999999999999997,0.094,0.066
0.0040000000000000036,0.136,0.132
-0.021999999999999992,0.132,0.154
0.018000000000000016,0.16,0.142
0.018000000000000002,0.124,0.106
0.015999999999999986,0.086,0.07
0.01200000000000001,0.162,0.15
0.009999999999999995,0.122,0.112
0.025999999999999995,0.12,0.094
-0.010000000000000002,0.032,0.042
0.014000000000000012,0.116,0.102
-0.035999999999999976,0.14,0.176
-0.012,0.018,0.03
0.0020000000000000018,0.116,0.114
-0.066,0.154,0.22
0.0,0.076,0.076
0.015999999999999986,0.086,0.07
0.022000000000000006,0.128,0.106
0.014000000000000012,0.136,0.122
-0.0020000000000000018,0.12,0.122
-0.023999999999999994,0.134,0.158
0.023999999999999994,0.108,0.084
-0.013999999999999999,0.04,0.054
-0.07200000000000001,0.15,0.222
-0.043999999999999984,0.138,0.182
0.022000000000000006,0.128,0.106
0.008000000000000007,0.094,0.086
-0.0020000000000000018,0.036,0.038
-0.014000000000000005,0.056,0.07
0.009999999999999981,0.148,0.138
0.020000000000000004,0.112,0.092
0.016,0.114,0.098
0.003999999999999997,0.054,0.05
-0.011999999999999997,0.08,0.092
0.010000000000000009,0.14,0.13
-0.018000000000000002,0.04,0.058
0.010000000000000009,0.134,0.124
-0.016,0.046,0.062
0.010000000000000009,0.098,0.088
0.03199999999999999,0.146,0.114
0.0020000000000000018,0.084,0.082
0.007999999999999993,0.122,0.114
0.016,0.1,0.084
0.00399999999999999,0.072,0.068
-0.0040000000000000036,0.066,0.07
-0.04600000000000001,0.15,0.196
0.016,0.116,0.1
0.0020000000000000018,0.138,0.136
0.013999999999999985,0.146,0.132
-0.001999999999999988,0.1,0.102
0.011999999999999997,0.118,0.106
-0.013999999999999985,0.13,0.144
0.009999999999999995,0.124,0.114
0.020000000000000004,0.112,0.092
-0.0040000000000000036,0.112,0.116
0.02600000000000001,0.112,0.086
-0.013999999999999985,0.13,0.144
0.0,0.086,0.086
-0.07999999999999999,0.168,0.248
-0.07,0.142,0.212
-0.04799999999999999,0.128,0.176
0.032,0.118,0.086
-0.010000000000000009,0.15,0.16
-0.00399999999999999,0.084,0.088
0.005999999999999978,0.146,0.14
-0.009999999999999995,0.066,0.076
0.005999999999999978,0.146,0.14
0.011999999999999997,0.126,0.114
-0.009999999999999995,0.062,0.072
-0.0020000000000000018,0.076,0.078
0.013999999999999999,0.122,0.108
0.034,0.08,0.046
0.009999999999999995,0.126,0.116
-0.006000000000000005,0.052,0.058
0.016,0.118,0.102
0.007999999999999993,0.124,0.116
0.0040000000000000036,0.112,0.108
0.020000000000000018,0.14,0.12
0.017999999999999988,0.102,0.084
0.0,0.136,0.136
0.007999999999999993,0.108,0.1
0.006000000000000005,0.134,0.128
-0.0020000000000000018,0.066,0.068
0.01200000000000001,0.134,0.122
-0.027999999999999997,0.138,0.166
0.006000000000000005,0.138,0.132
0.036000000000000004,0.07,0.034
0.020000000000000004,0.108,0.088
0.02600000000000001,0.128,0.102
-0.0040000000000000036,0.066,0.07
-0.013999999999999999,0.096,0.11
0.028000000000000004,0.066,0.038
-0.0040000000000000036,0.088,0.092
0.016,0.124,0.108
0.0,0.132,0.132
-0.011999999999999997,0.04,0.052
-0.0040000000000000036,0.054,0.058
0.01200000000000001,0.13,0.118
0.018000000000000002,0.108,0.09
-0.026000000000000023,0.142,0.168
0.015999999999999986,0.086,0.07
0.022000000000000006,0.138,0.116
0.016,0.09,0.074
-0.010000000000000009,0.142,0.152
0.022000000000000006,0.116,0.094
0.0,0.104,0.104
0.0,0.15,0.15
-0.005999999999999998,0.016,0.022
0.022000000000000006,0.112,0.09
0.007999999999999993,0.118,0.11
-0.016000000000000014,0.142,0.158
0.006000000000000005,0.15,0.144
-0.00799999999999998,0.14,0.148
0.023999999999999994,0.074,0.05
-0.008000000000000007,0.074,0.082
0.01200000000000001,0.134,0.122
0.027999999999999997,0.092,0.064
0.014000000000000012,0.164,0.15
0.007999999999999993,0.12,0.112
-0.008,0.056,0.064
-0.0020000000000000018,0.066,0.068
-0.0020000000000000018,0.128,0.13
0.007999999999999993,0.122,0.114
-0.0020000000000000018,0.142,0.144
0.016,0.13,0.114
-0.0040000000000000036,0.064,0.068
0.00799999999999998,0.172,0.164
0.0059999999999999915,0.102,0.096
-0.032,0.148,0.18
0.016,0.13,0.114
0.03,0.114,0.084
0.007999999999999993,0.118,0.11
-0.007999999999999993,0.084,0.092
-0.03999999999999998,0.138,0.178
-0.011999999999999997,0.096,0.108
-0.0040000000000000036,0.066,0.07
0.016000000000000014,0.136,0.12
0.03799999999999998,0.174,0.136
0.023999999999999994,0.12,0.096
-0.010000000000000009,0.15,0.16
-0.01999999999999999,0.134,0.154
-0.006000000000000005,0.144,0.15
0.032,0.158,0.126
-0.009999999999999981,0.138,0.148
-0.017999999999999988,0.132,0.15
0.025999999999999995,0.102,0.076
0.011999999999999997,0.108,0.096
0.003999999999999997,0.054,0.05
-0.0040000000000000036,0.118,0.122
0.0040000000000000036,0.068,0.064
0.027999999999999997,0.074,0.046
0.02200000000000002,0.14,0.118
-0.012000000000000004,0.038,0.05
0.02200000000000002,0.14,0.118
0.0,0.026,0.026
-0.07200000000000001,0.142,0.214
-0.0020000000000000018,0.124,0.126
-0.0059999999999999915,0.112,0.118
-0.008000000000000007,0.118,0.126
0.022000000000000006,0.13,0.108
0.006000000000000005,0.132,0.126
-0.0059999999999999915,0.1,0.106
0.0040000000000000036,0.066,0.062
-0.010000000000000009,0.124,0.134
0.032,0.092,0.06
-0.01999999999999999,0.134,0.154
0.018000000000000002,0.124,0.106
0.017999999999999988,0.156,0.138
-0.025999999999999995,0.148,0.174
0.0040000000000000036,0.098,0.094
0.025999999999999995,0.11,0.084
0.0020000000000000018,0.132,0.13
0.009999999999999995,0.106,0.096
-0.064,0.148,0.212
-0.0040000000000000036,0.112,0.116
0.0020000000000000018,0.132,0.13
0.0,0.138,0.138
0.016,0.096,0.08
0.015999999999999986,0.148,0.132
0.016,0.118,0.102
0.0020000000000000018,0.126,0.124
-0.006000000000000005,0.062,0.068
0.020000000000000004,0.124,0.104
0.01999999999999999,0.12,0.1
0.021999999999999992,0.118,0.096
0.010000000000000009,0.132,0.122
0.00399999999999999,0.072,0.068
-0.006000000000000005,0.052,0.058
0.006000000000000005,0.098,0.092
-0.023999999999999994,0.138,0.162
0.020000000000000004,0.094,0.074
0.016,0.1,0.084
-0.0040000000000000036,0.096,0.1
0.022000000000000006,0.1,0.078
-0.009999999999999981,0.132,0.142
-0.018000000000000002,0.062,0.08
0.011999999999999997,0.11,0.098
0.0,0.116,0.116
0.022000000000000006,0.096,0.074
-0.014000000000000012,0.118,0.132
0.020000000000000004,0.114,0.094
0.006000000000000005,0.136,0.13
0.018000000000000002,0.106,0.088
0.020000000000000004,0.124,0.104
-0.016,0.086,0.102
0.008000000000000007,0.096,0.088
-0.010000000000000002,0.044,0.054
0.001999999999999995,0.052,0.05
0.016,0.122,0.106
-0.006000000000000005,0.132,0.138
0.006000000000000005,0.15,0.144
-0.011999999999999997,0.108,0.12
0.023999999999999994,0.154,0.13
0.008000000000000007,0.084,0.076
0.025999999999999995,0.094,0.068
0.024000000000000007,0.116,0.092
0.01999999999999999,0.146,0.126
-0.08800000000000002,0.146,0.234
0.032,0.108,0.076
-0.013999999999999999,0.096,0.11
-0.009999999999999995,0.11,0.12
-0.024000000000000007,0.06,0.084
-0.006000000000000005,0.052,0.058
0.014000000000000012,0.132,0.118
-0.006000000000000005,0.144,0.15
0.024000000000000007,0.138,0.114
0.006000000000000005,0.126,0.12
-0.0020000000000000018,0.148,0.15
0.020000000000000004,0.106,0.086
-0.04199999999999998,0.136,0.178
-0.016,0.1,0.116
-0.0020000000000000018,0.096,0.098
0.010000000000000009,0.1,0.09
0.005999999999999998,0.056,0.05
0.008,0.05,0.042
0.0,0.124,0.124
0.0020000000000000018,0.146,0.144
0.011999999999999997,0.126,0.114
0.0,0.132,0.132
-0.027999999999999997,0.148,0.176
0.006000000000000005,0.132,0.126
0.022000000000000006,0.138,0.116
-0.008,0.058,0.066
0.018000000000000002,0.114,0.096
0.006000000000000005,0.11,0.104
0.010000000000000009,0.16,0.15
0.0020000000000000018,0.144,0.142
-0.027999999999999997,0.128,0.156
-0.006000000000000005,0.064,0.07
0.018000000000000002,0.134,0.116
0.025999999999999995,0.106,0.08
-0.0020000000000000018,0.08,0.082
0.03,0.094,0.064
0.023999999999999994,0.092,0.068
0.010000000000000009,0.114,0.104
0.030000000000000013,0.14,0.11
0.007999999999999993,0.092,0.084
-0.016000000000000004,0.026,0.042
0.016,0.1,0.084
0.0,0.134,0.134
-0.006000000000000005,0.134,0.14
0.015999999999999986,0.142,0.126
0.027999999999999997,0.126,0.098
-0.001999999999999995,0.042,0.044
0.032,0.116,0.084
0.022000000000000006,0.138,0.116
0.013999999999999999,0.126,0.112
0.025999999999999995,0.092,0.066
-0.001999999999999988,0.1,0.102
0.027999999999999997,0.118,0.09
0.016,0.108,0.092
0.016000000000000014,0.138,0.122
0.03200000000000001,0.084,0.052
0.018000000000000002,0.108,0.09
-0.007999999999999993,0.112,0.12
-0.03,0.122,0.152
0.018000000000000016,0.136,0.118
0.0040000000000000036,0.116,0.112
-0.01999999999999999,0.134,0.154
0.013999999999999999,0.102,0.088
0.01999999999999999,0.088,0.068
0.0,0.136,0.136
0.011999999999999997,0.126,0.114
0.023999999999999994,0.094,0.07
0.0,0.098,0.098
0.013999999999999999,0.124,0.11
-0.013999999999999999,0.076,0.09
0.025999999999999995,0.158,0.132
0.02600000000000001,0.128,0.102
0.021999999999999992,0.104,0.082
0.022000000000000006,0.108,0.086
-0.016,0.008,0.024
-0.006000000000000005,0.122,0.128
0.022000000000000006,0.128,0.106
0.0,0.126,0.126
0.03,0.09,0.06
0.006000000000000005,0.15,0.144
-0.04400000000000001,0.144,0.188
0.008000000000000007,0.138,0.13
0.022000000000000006,0.138,0.116
0.017999999999999988,0.086,0.068
-0.016000000000000014,0.142,0.158
0.01999999999999999,0.142,0.122
0.011999999999999997,0.072,0.06
0.0040000000000000036,0.156,0.152
0.023999999999999994,0.092,0.068
0.025999999999999995,0.122,0.096
0.010000000000000009,0.132,0.122
-0.018000000000000002,0.046,0.064
-0.01,0.006,0.016
-0.0040000000000000036,0.086,0.09
0.01999999999999999,0.088,0.068
0.010000000000000009,0.112,0.102
-0.055999999999999994,0.154,0.21
0.0,0.098,0.098
0.011999999999999983,0.144,0.132
0.007999999999999993,0.12,0.112
0.0,0.098,0.098
-0.0020000000000000018,0.12,0.122
0.016,0.118,0.102
0.018000000000000016,0.138,0.12
-0.005999999999999978,0.138,0.144
0.0,0.076,0.076
-0.0040000000000000036,0.152,0.156
0.011999999999999997,0.122,0.11
-0.009999999999999995,0.066,0.076
0.033999999999999996,0.092,0.058
0.011999999999999997,0.122,0.11
0.023999999999999994,0.108,0.084
0.03,0.118,0.088
